dataset,case,edits,words,wer,delta_edits_vs_baseline,rel_reduction_vs_baseline,wall_sec,whisper_total_ms
small_specific_hard_manifest,probe3_wg-1.0_we-0.5_wl1.2,42,515,0.08155339805825243,-6,0.125,47.156023263931274,46054.60999999999
small_specific_hard_manifest,probe3_wg-0.5_we0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,47.16281723976135,46074.87
small_specific_hard_manifest,probe3_wg-1.2_we-0.2_wl1.2,42,515,0.08155339805825243,-6,0.125,47.1779363155365,46100.09
small_specific_hard_manifest,probe3_wg-1.2_we-0.5_wl1.0,42,515,0.08155339805825243,-6,0.125,47.19381880760193,45982.759999999995
small_specific_hard_manifest,probe3_wg-0.5_we-0.5_wl1.2,42,515,0.08155339805825243,-6,0.125,47.208117961883545,46119.24
small_specific_hard_manifest,probe3_wg-1.2_we0.0_wl0.8,42,515,0.08155339805825243,-6,0.125,47.25211310386658,46145.69
small_specific_hard_manifest,probe3_wg-0.8_we-0.8_wl1.2,42,515,0.08155339805825243,-6,0.125,47.25948691368103,46151.22
small_specific_hard_manifest,probe3_wg-0.8_we-0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,47.28315806388855,46183.619999999995
small_specific_hard_manifest,probe3_wg-0.5_we-0.5_wl0.8,42,515,0.08155339805825243,-6,0.125,47.283719301223755,46147.4
small_specific_hard_manifest,probe3_wg-1.0_we0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,47.28656816482544,46185.100000000006
small_specific_hard_manifest,probe3_wg-0.8_we-0.8_wl1.0,42,515,0.08155339805825243,-6,0.125,47.29995560646057,46183.56999999999
small_specific_hard_manifest,probe3_wg-0.8_we0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,47.38586139678955,46289.27999999999
small_specific_hard_manifest,probe3_wg-0.5_we-0.5_wl1.0,42,515,0.08155339805825243,-6,0.125,47.409342765808105,46273.88999999999
small_specific_hard_manifest,probe3_wg-1.5_we0.0_wl1.0,42,515,0.08155339805825243,-6,0.125,47.42760610580444,46312.22
small_specific_hard_manifest,probe3_wg-0.5_we-0.8_wl1.0,42,515,0.08155339805825243,-6,0.125,47.45249915122986,46380.69
small_specific_hard_manifest,probe3_wg-0.8_we0.0_wl1.0,42,515,0.08155339805825243,-6,0.125,47.516873836517334,46415.409999999996
small_specific_hard_manifest,probe3_wg-1.2_we0.0_wl1.0,42,515,0.08155339805825243,-6,0.125,47.57236170768738,46441.85
small_specific_hard_manifest,probe3_wg-1.2_we-0.8_wl1.2,42,515,0.08155339805825243,-6,0.125,47.662848472595215,46455.060000000005
