case,edits,words,wer,delta_edits_vs_baseline,rel_reduction_vs_baseline,wall_sec,whisper_total_ms
probe3_wg-0.8_we-0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,279.1771273612976,270396.13999999996
probe3_wg-1.0_we-0.8_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,279.660117149353,273240.34
probe3_wg-1.5_we-0.8_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,279.9571096897125,269825.05
probe3_wg-1.0_we-0.5_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,280.48462080955505,269986.55
probe3_wg-1.0_we-0.5_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,280.5205285549164,272698.56
probe3_wg-0.5_we0.0_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,282.338303565979,273020.85000000003
probe3_wg-0.8_we-0.5_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,283.6672863960266,275293.51
probe3_wg-0.5_we-0.8_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,284.71688747406006,277850.02
probe3_wg-0.5_we-0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,284.97673654556274,274505.01999999996
probe3_wg-0.5_we-0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,284.9810526371002,275703.17
probe3_wg-1.2_we-0.5_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,285.5125198364258,276843.22000000003
probe3_wg-1.5_we-0.8_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,285.69611978530884,278023.01000000007
probe3_wg-0.5_we0.0_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,285.989946603775,278190.19000000006
probe3_wg-1.2_we-0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,288.15001821517944,278912.00999999995
probe3_wg-1.0_we0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,290.13805770874023,284189.99
probe3_wg-0.5_we-0.5_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,290.1520183086395,280642.98
probe3_wg-1.2_we-0.8_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,290.6191952228546,278839.97
probe3_wg-1.5_we-0.5_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,291.5743134021759,282347.3
probe3_wg-1.2_we-0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,291.8428156375885,280480.69
probe3_wg-1.0_we0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,292.08537125587463,281471.55
